CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn_probability,risk_level,retention_suggestions
781,India,Female,32,8,25430,2,1,1,119850,0.05,Low,Personalize communications with female-focused financial empowerment content. | Offer premium investment opportunities and advanced financial tools. | Offer low-balance incentives and educational content on savings growth.
743,Germany,Male,41,7,66320,2,1,1,98760,0.025,Low,Leverage local market insights for tailored German-language communications. | Offer investment-focused education and growth-oriented financial planning.
692,France,Female,29,5,13890,2,1,1,75210,0.04,Low,Target with digital-first initiatives and mobile app engagement features. | Personalize communications with female-focused financial empowerment content. | Incorporate French cultural preferences in marketing and service delivery. | Offer low-balance incentives and educational content on savings growth.
719,Spain,Male,36,6,41240,3,1,1,87430,0.585,Medium,Review product complexity and offer simplified premium packages. | Schedule follow-up engagement within 14 days to reinforce relationship. | Offer investment-focused education and growth-oriented financial planning. | Highlight community-focused initiatives popular in Spanish markets. | Offer low-balance incentives and educational content on savings growth.
667,India,Female,38,4,55780,2,1,1,82340,0.085,Low,Personalize communications with female-focused financial empowerment content.
612,Germany,Female,45,3,121450,1,1,0,65980,0.715,High,Launch a personalized digital engagement campaign in the next 7 days. | Personalize communications with female-focused financial empowerment content. | Bundle one additional product with loyalty pricing to improve relationship depth. | Leverage local market insights for tailored German-language communications. | Trigger immediate churn-prevention workflow with outbound call escalation.
598,France,Male,52,2,149670,1,1,0,58210,0.825,High,Trigger immediate churn-prevention workflow with outbound call escalation. | Incorporate French cultural preferences in marketing and service delivery. | Offer investment-focused education and growth-oriented financial planning. | Bundle one additional product with loyalty pricing to improve relationship depth. | Provide credit-building resources and supportive financial guidance.
573,Spain,Female,49,1,133920,1,0,0,51540,0.47,Medium,Personalize communications with female-focused financial empowerment content. | Provide enhanced onboarding support and milestone rewards for early tenure. | Bundle one additional product with loyalty pricing to improve relationship depth. | Schedule follow-up engagement within 14 days to reinforce relationship. | Highlight community-focused initiatives popular in Spanish markets.
542,Germany,Male,55,1,171380,1,1,0,47560,0.535,Medium,Bundle one additional product with loyalty pricing to improve relationship depth. | Offer investment-focused education and growth-oriented financial planning. | Provide credit-building resources and supportive financial guidance. | Provide enhanced onboarding support and milestone rewards for early tenure. | Assign a dedicated relationship manager for proactive high-value account outreach.
509,France,Female,58,0,186740,1,0,0,43890,0.61,High,Assign a dedicated relationship manager for proactive high-value account outreach. | Offer personalized senior benefits and simplified service options. | Launch a personalized digital engagement campaign in the next 7 days. | Trigger immediate churn-prevention workflow with outbound call escalation. | Provide enhanced onboarding support and milestone rewards for early tenure.
624,India,Male,44,2,97320,1,1,0,70340,0.385,Medium,Schedule follow-up engagement within 14 days to reinforce relationship. | Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Offer investment-focused education and growth-oriented financial planning.
637,Spain,Female,47,3,112480,1,1,0,68520,0.54,Medium,Schedule follow-up engagement within 14 days to reinforce relationship. | Bundle one additional product with loyalty pricing to improve relationship depth. | Personalize communications with female-focused financial empowerment content. | Highlight community-focused initiatives popular in Spanish markets. | Launch a personalized digital engagement campaign in the next 7 days.
663,France,Male,40,4,83210,2,1,1,84230,0.025,Low,Incorporate French cultural preferences in marketing and service delivery. | Offer investment-focused education and growth-oriented financial planning.
687,India,Female,34,6,37110,2,1,1,96120,0.02,Low,Offer low-balance incentives and educational content on savings growth. | Personalize communications with female-focused financial empowerment content.
707,Germany,Male,31,7,22780,2,1,1,103540,0.02,Low,Leverage local market insights for tailored German-language communications. | Offer low-balance incentives and educational content on savings growth. | Offer investment-focused education and growth-oriented financial planning.
578,India,Male,53,1,142350,1,1,0,56890,0.765,High,Trigger immediate churn-prevention workflow with outbound call escalation. | Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Provide enhanced onboarding support and milestone rewards for early tenure. | Offer investment-focused education and growth-oriented financial planning.
553,Spain,Female,57,0,177640,1,0,0,46230,0.67,High,Provide credit-building resources and supportive financial guidance. | Launch a personalized digital engagement campaign in the next 7 days. | Provide enhanced onboarding support and milestone rewards for early tenure. | Bundle one additional product with loyalty pricing to improve relationship depth. | Personalize communications with female-focused financial empowerment content.
603,France,Female,46,2,123540,1,1,0,63210,0.595,Medium,Schedule follow-up engagement within 14 days to reinforce relationship. | Personalize communications with female-focused financial empowerment content. | Bundle one additional product with loyalty pricing to improve relationship depth. | Launch a personalized digital engagement campaign in the next 7 days. | Incorporate French cultural preferences in marketing and service delivery.
732,India,Male,35,8,30980,2,1,1,116340,0.055,Low,Offer low-balance incentives and educational content on savings growth. | Offer investment-focused education and growth-oriented financial planning.
761,Germany,Female,30,9,18940,2,1,1,129570,0.025,Low,Leverage local market insights for tailored German-language communications. | Recognize long-term loyalty with exclusive perks and anniversary communications. | Offer premium investment opportunities and advanced financial tools. | Offer low-balance incentives and educational content on savings growth. | Personalize communications with female-focused financial empowerment content.
744,France,Female,33,6,52890,2,1,1,91840,0.065,Low,Personalize communications with female-focused financial empowerment content. | Incorporate French cultural preferences in marketing and service delivery.
689,Spain,Male,39,5,88120,2,1,1,78930,0.1,Low,Offer investment-focused education and growth-oriented financial planning. | Highlight community-focused initiatives popular in Spanish markets.
723,Germany,Female,44,7,133760,1,1,0,64890,0.795,High,Bundle one additional product with loyalty pricing to improve relationship depth. | Personalize communications with female-focused financial empowerment content. | Trigger immediate churn-prevention workflow with outbound call escalation. | Launch a personalized digital engagement campaign in the next 7 days. | Leverage local market insights for tailored German-language communications.
661,India,Male,28,3,32240,2,1,1,73110,0.065,Low,Offer investment-focused education and growth-oriented financial planning. | Target with digital-first initiatives and mobile app engagement features. | Offer low-balance incentives and educational content on savings growth.
705,France,Female,37,4,77180,3,1,1,100230,0.795,High,Review product complexity and offer simplified premium packages. | Incorporate French cultural preferences in marketing and service delivery. | Trigger immediate churn-prevention workflow with outbound call escalation. | Personalize communications with female-focused financial empowerment content.
617,Spain,Male,49,2,145320,1,1,0,57460,0.45,Medium,Highlight community-focused initiatives popular in Spanish markets. | Bundle one additional product with loyalty pricing to improve relationship depth. | Schedule follow-up engagement within 14 days to reinforce relationship. | Offer investment-focused education and growth-oriented financial planning. | Launch a personalized digital engagement campaign in the next 7 days.
599,Germany,Female,52,1,159730,1,0,0,53980,0.8,High,Assign a dedicated relationship manager for proactive high-value account outreach. | Launch a personalized digital engagement campaign in the next 7 days. | Trigger immediate churn-prevention workflow with outbound call escalation. | Bundle one additional product with loyalty pricing to improve relationship depth. | Leverage local market insights for tailored German-language communications.
571,India,Male,55,0,176890,1,0,0,48240,0.58,Medium,Bundle one additional product with loyalty pricing to improve relationship depth. | Schedule follow-up engagement within 14 days to reinforce relationship. | Assign a dedicated relationship manager for proactive high-value account outreach. | Provide credit-building resources and supportive financial guidance. | Provide enhanced onboarding support and milestone rewards for early tenure.
635,France,Female,42,3,99120,2,1,1,84100,0.095,Low,Personalize communications with female-focused financial empowerment content. | Incorporate French cultural preferences in marketing and service delivery.
679,Spain,Male,31,5,46340,2,1,1,89340,0.07,Low,Offer investment-focused education and growth-oriented financial planning. | Offer low-balance incentives and educational content on savings growth. | Highlight community-focused initiatives popular in Spanish markets.
713,Germany,Female,29,6,38980,2,1,1,102450,0.015,Low,Leverage local market insights for tailored German-language communications. | Target with digital-first initiatives and mobile app engagement features. | Offer low-balance incentives and educational content on savings growth. | Personalize communications with female-focused financial empowerment content.
649,India,Male,47,4,120560,1,1,0,70230,0.5,Medium,Launch a personalized digital engagement campaign in the next 7 days. | Offer investment-focused education and growth-oriented financial planning. | Bundle one additional product with loyalty pricing to improve relationship depth. | Schedule follow-up engagement within 14 days to reinforce relationship.
605,France,Female,51,2,137430,1,1,0,62210,0.845,High,Trigger immediate churn-prevention workflow with outbound call escalation. | Personalize communications with female-focused financial empowerment content. | Bundle one additional product with loyalty pricing to improve relationship depth. | Launch a personalized digital engagement campaign in the next 7 days. | Incorporate French cultural preferences in marketing and service delivery.
726,Spain,Male,36,7,69210,3,1,1,95240,0.685,High,Offer investment-focused education and growth-oriented financial planning. | Review product complexity and offer simplified premium packages. | Highlight community-focused initiatives popular in Spanish markets. | Trigger immediate churn-prevention workflow with outbound call escalation.
758,Germany,Female,34,8,26230,2,1,1,113980,0.03,Low,Leverage local market insights for tailored German-language communications. | Offer low-balance incentives and educational content on savings growth. | Personalize communications with female-focused financial empowerment content. | Offer premium investment opportunities and advanced financial tools.
586,India,Male,54,1,150780,1,0,0,54820,0.71,High,Trigger immediate churn-prevention workflow with outbound call escalation. | Offer investment-focused education and growth-oriented financial planning. | Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Assign a dedicated relationship manager for proactive high-value account outreach.
