CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn_probability,risk_level,retention_suggestions
780,India,Female,32,8,25000,2,1,1,120000,0.045,Low,Offer low-balance incentives and educational content on savings growth. | Personalize communications with female-focused financial empowerment content. | Offer premium investment opportunities and advanced financial tools.
745,Germany,Male,41,7,65000,2,1,1,98000,0.02,Low,Offer investment-focused education and growth-oriented financial planning. | Leverage local market insights for tailored German-language communications.
690,France,Female,29,5,14000,2,1,1,76000,0.03,Low,Offer low-balance incentives and educational content on savings growth. | Personalize communications with female-focused financial empowerment content. | Incorporate French cultural preferences in marketing and service delivery. | Target with digital-first initiatives and mobile app engagement features.
720,Spain,Male,36,6,40000,3,1,1,88000,0.58,Medium,Highlight community-focused initiatives popular in Spanish markets. | Schedule follow-up engagement within 14 days to reinforce relationship. | Review product complexity and offer simplified premium packages. | Offer low-balance incentives and educational content on savings growth. | Offer investment-focused education and growth-oriented financial planning.
665,India,Female,38,4,54000,2,1,1,81000,0.085,Low,Personalize communications with female-focused financial empowerment content.
610,Germany,Female,45,3,120000,1,1,0,65000,0.715,High,Leverage local market insights for tailored German-language communications. | Personalize communications with female-focused financial empowerment content. | Trigger immediate churn-prevention workflow with outbound call escalation. | Bundle one additional product with loyalty pricing to improve relationship depth. | Launch a personalized digital engagement campaign in the next 7 days.
595,France,Male,52,2,150000,1,1,0,58000,0.82,High,Bundle one additional product with loyalty pricing to improve relationship depth. | Incorporate French cultural preferences in marketing and service delivery. | Trigger immediate churn-prevention workflow with outbound call escalation. | Offer investment-focused education and growth-oriented financial planning. | Provide credit-building resources and supportive financial guidance.
570,Spain,Female,49,1,132000,1,0,0,52000,0.485,Medium,Personalize communications with female-focused financial empowerment content. | Launch a personalized digital engagement campaign in the next 7 days. | Provide enhanced onboarding support and milestone rewards for early tenure. | Provide credit-building resources and supportive financial guidance. | Schedule follow-up engagement within 14 days to reinforce relationship.
540,Germany,Male,55,1,170000,1,1,0,47000,0.62,High,Launch a personalized digital engagement campaign in the next 7 days. | Assign a dedicated relationship manager for proactive high-value account outreach. | Trigger immediate churn-prevention workflow with outbound call escalation. | Provide enhanced onboarding support and milestone rewards for early tenure. | Leverage local market insights for tailored German-language communications.
510,France,Female,58,0,185000,1,0,0,43000,0.61,High,Bundle one additional product with loyalty pricing to improve relationship depth. | Incorporate French cultural preferences in marketing and service delivery. | Personalize communications with female-focused financial empowerment content. | Provide credit-building resources and supportive financial guidance. | Offer personalized senior benefits and simplified service options.
620,India,Male,44,2,98000,1,1,0,71000,0.38,Medium,Bundle one additional product with loyalty pricing to improve relationship depth. | Offer investment-focused education and growth-oriented financial planning. | Schedule follow-up engagement within 14 days to reinforce relationship. | Launch a personalized digital engagement campaign in the next 7 days.
635,Spain,Female,47,3,111000,1,1,0,69000,0.53,Medium,Personalize communications with female-focused financial empowerment content. | Launch a personalized digital engagement campaign in the next 7 days. | Highlight community-focused initiatives popular in Spanish markets. | Schedule follow-up engagement within 14 days to reinforce relationship. | Bundle one additional product with loyalty pricing to improve relationship depth.
660,France,Male,40,4,82000,2,1,1,83000,0.04,Low,Incorporate French cultural preferences in marketing and service delivery. | Offer investment-focused education and growth-oriented financial planning.
685,India,Female,34,6,36000,2,1,1,95000,0.02,Low,Offer low-balance incentives and educational content on savings growth. | Personalize communications with female-focused financial empowerment content.
705,Germany,Male,31,7,22000,2,1,1,102000,0.025,Low,Leverage local market insights for tailored German-language communications. | Offer low-balance incentives and educational content on savings growth. | Offer investment-focused education and growth-oriented financial planning.
575,India,Male,53,1,141000,1,1,0,56000,0.775,High,Bundle one additional product with loyalty pricing to improve relationship depth. | Provide credit-building resources and supportive financial guidance. | Offer investment-focused education and growth-oriented financial planning. | Launch a personalized digital engagement campaign in the next 7 days. | Trigger immediate churn-prevention workflow with outbound call escalation.
550,Spain,Female,57,0,176000,1,0,0,46000,0.67,High,Offer personalized senior benefits and simplified service options. | Provide credit-building resources and supportive financial guidance. | Provide enhanced onboarding support and milestone rewards for early tenure. | Personalize communications with female-focused financial empowerment content. | Launch a personalized digital engagement campaign in the next 7 days.
600,France,Female,46,2,124000,1,1,0,64000,0.6,Medium,Schedule follow-up engagement within 14 days to reinforce relationship. | Personalize communications with female-focused financial empowerment content. | Launch a personalized digital engagement campaign in the next 7 days. | Incorporate French cultural preferences in marketing and service delivery. | Bundle one additional product with loyalty pricing to improve relationship depth.
730,India,Male,35,8,30000,2,1,1,115000,0.065,Low,Offer low-balance incentives and educational content on savings growth. | Offer investment-focused education and growth-oriented financial planning.
760,Germany,Female,30,9,18000,2,1,1,128000,0.025,Low,Personalize communications with female-focused financial empowerment content. | Recognize long-term loyalty with exclusive perks and anniversary communications. | Offer low-balance incentives and educational content on savings growth. | Offer premium investment opportunities and advanced financial tools. | Leverage local market insights for tailored German-language communications.
