CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
780,India,Female,32,8,25000,2,1,1,120000
745,Germany,Male,41,7,65000,2,1,1,98000
690,France,Female,29,5,14000,2,1,1,76000
720,Spain,Male,36,6,40000,3,1,1,88000
665,India,Female,38,4,54000,2,1,1,81000
610,Germany,Female,45,3,120000,1,1,0,65000
595,France,Male,52,2,150000,1,1,0,58000
570,Spain,Female,49,1,132000,1,0,0,52000
540,Germany,Male,55,1,170000,1,1,0,47000
510,France,Female,58,0,185000,1,0,0,43000
620,India,Male,44,2,98000,1,1,0,71000
635,Spain,Female,47,3,111000,1,1,0,69000
660,France,Male,40,4,82000,2,1,1,83000
685,India,Female,34,6,36000,2,1,1,95000
705,Germany,Male,31,7,22000,2,1,1,102000
575,India,Male,53,1,141000,1,1,0,56000
550,Spain,Female,57,0,176000,1,0,0,46000
600,France,Female,46,2,124000,1,1,0,64000
730,India,Male,35,8,30000,2,1,1,115000
760,Germany,Female,30,9,18000,2,1,1,128000
