CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn_probability,risk_level,retention_suggestions
780,India,Female,32,8,25000,2,1,1,120000,0.045,Low,Maintain current service quality and monitor engagement indicators monthly.
745,Germany,Male,41,7,65000,2,1,1,98000,0.02,Low,Maintain current service quality and monitor engagement indicators monthly.
690,France,Female,29,5,14000,2,1,1,76000,0.03,Low,Maintain current service quality and monitor engagement indicators monthly.
720,Spain,Male,36,6,40000,3,1,1,88000,0.58,Medium,Maintain current service quality and monitor engagement indicators monthly.
665,India,Female,38,4,54000,2,1,1,81000,0.085,Low,Maintain current service quality and monitor engagement indicators monthly.
610,Germany,Female,45,3,120000,1,1,0,65000,0.715,High,Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Assign a relationship manager for proactive high-value account outreach. | Trigger immediate churn-prevention workflow with outbound call escalation.
595,France,Male,52,2,150000,1,1,0,58000,0.82,High,Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Assign a relationship manager for proactive high-value account outreach. | Offer onboarding retention benefits and milestone rewards for early tenure. | Trigger immediate churn-prevention workflow with outbound call escalation.
570,Spain,Female,49,1,132000,1,0,0,52000,0.485,Medium,Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Assign a relationship manager for proactive high-value account outreach. | Offer onboarding retention benefits and milestone rewards for early tenure.
540,Germany,Male,55,1,170000,1,1,0,47000,0.62,High,Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Assign a relationship manager for proactive high-value account outreach. | Offer onboarding retention benefits and milestone rewards for early tenure. | Trigger immediate churn-prevention workflow with outbound call escalation.
510,France,Female,58,0,185000,1,0,0,43000,0.61,High,Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Assign a relationship manager for proactive high-value account outreach. | Offer onboarding retention benefits and milestone rewards for early tenure. | Trigger immediate churn-prevention workflow with outbound call escalation.
620,India,Male,44,2,98000,1,1,0,71000,0.38,Medium,Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Offer onboarding retention benefits and milestone rewards for early tenure.
635,Spain,Female,47,3,111000,1,1,0,69000,0.53,Medium,Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Assign a relationship manager for proactive high-value account outreach.
660,France,Male,40,4,82000,2,1,1,83000,0.04,Low,Maintain current service quality and monitor engagement indicators monthly.
685,India,Female,34,6,36000,2,1,1,95000,0.02,Low,Maintain current service quality and monitor engagement indicators monthly.
705,Germany,Male,31,7,22000,2,1,1,102000,0.025,Low,Maintain current service quality and monitor engagement indicators monthly.
575,India,Male,53,1,141000,1,1,0,56000,0.775,High,Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Assign a relationship manager for proactive high-value account outreach. | Offer onboarding retention benefits and milestone rewards for early tenure. | Trigger immediate churn-prevention workflow with outbound call escalation.
550,Spain,Female,57,0,176000,1,0,0,46000,0.67,High,Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Assign a relationship manager for proactive high-value account outreach. | Offer onboarding retention benefits and milestone rewards for early tenure. | Trigger immediate churn-prevention workflow with outbound call escalation.
600,France,Female,46,2,124000,1,1,0,64000,0.6,Medium,Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Assign a relationship manager for proactive high-value account outreach. | Offer onboarding retention benefits and milestone rewards for early tenure.
730,India,Male,35,8,30000,2,1,1,115000,0.065,Low,Maintain current service quality and monitor engagement indicators monthly.
760,Germany,Female,30,9,18000,2,1,1,128000,0.025,Low,Maintain current service quality and monitor engagement indicators monthly.
