CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
781,India,Female,32,8,25430,2,1,1,119850
743,Germany,Male,41,7,66320,2,1,1,98760
692,France,Female,29,5,13890,2,1,1,75210
719,Spain,Male,36,6,41240,3,1,1,87430
667,India,Female,38,4,55780,2,1,1,82340
612,Germany,Female,45,3,121450,1,1,0,65980
598,France,Male,52,2,149670,1,1,0,58210
573,Spain,Female,49,1,133920,1,0,0,51540
542,Germany,Male,55,1,171380,1,1,0,47560
509,France,Female,58,0,186740,1,0,0,43890
624,India,Male,44,2,97320,1,1,0,70340
637,Spain,Female,47,3,112480,1,1,0,68520
663,France,Male,40,4,83210,2,1,1,84230
687,India,Female,34,6,37110,2,1,1,96120
707,Germany,Male,31,7,22780,2,1,1,103540
578,India,Male,53,1,142350,1,1,0,56890
553,Spain,Female,57,0,177640,1,0,0,46230
603,France,Female,46,2,123540,1,1,0,63210
732,India,Male,35,8,30980,2,1,1,116340
761,Germany,Female,30,9,18940,2,1,1,129570
744,France,Female,33,6,52890,2,1,1,91840
689,Spain,Male,39,5,88120,2,1,1,78930
723,Germany,Female,44,7,133760,1,1,0,64890
661,India,Male,28,3,32240,2,1,1,73110
705,France,Female,37,4,77180,3,1,1,100230
617,Spain,Male,49,2,145320,1,1,0,57460
599,Germany,Female,52,1,159730,1,0,0,53980
571,India,Male,55,0,176890,1,0,0,48240
635,France,Female,42,3,99120,2,1,1,84100
679,Spain,Male,31,5,46340,2,1,1,89340
713,Germany,Female,29,6,38980,2,1,1,102450
649,India,Male,47,4,120560,1,1,0,70230
605,France,Female,51,2,137430,1,1,0,62210
726,Spain,Male,36,7,69210,3,1,1,95240
758,Germany,Female,34,8,26230,2,1,1,113980
586,India,Male,54,1,150780,1,0,0,54820
563,France,Female,56,0,182340,1,0,0,47230
610,Spain,Male,45,2,128540,1,1,0,68310
737,India,Female,38,6,60340,2,1,1,98230
769,Germany,Male,32,9,21780,2,1,1,125780
746,France,Female,31,7,48970,2,1,1,93410
691,Spain,Male,40,6,90340,2,1,1,80210
725,Germany,Female,43,8,136210,1,1,0,65970
663,India,Male,29,4,33890,2,1,1,74840
707,France,Female,36,5,78940,3,1,1,101560
619,Spain,Male,50,3,147210,1,1,0,59210
601,Germany,Female,53,2,161430,1,0,0,55220
